Material;Centro;Clase de valoración;Texto breve de material;Última modificación;Tipo material;Grupo de artículos;Unidad medida base;Grupo de compras;Indicador ABC;Caract.planif.nec.;Categoría valoración;Control de precios;Precio;Moneda;Cantidad base;Creado por
251581;CD00;;GRAPA TIPO PISTOLA, 336 MCM 3 PERNOS;19/8/2023;ZMBT;FEEM0702;C/U;;;ND;MD04;S;19,630;COP;1;AE79461
251582;CD00;;GRAPA SUSPENSIÓN METALICA 336 MCM;28/10/2021;ZMBT;FEEM0702;C/U;;;ND;MD04;S;23,954;COP;1;AE79461
251583;CD00;;Accesorios poste met.32 m tipo R3 3 secc;20/12/2021;ZAT;FEEM0701;C/U;;;ND;MD04;S;1,617,590;COP;1;AE79461
251584;CD00;;Accesorios poste met 32 m tipo R5 3 secc;28/10/2021;ZAT;FEEM0701;C/U;;;ND;MD04;S;3,406,846;COP;1;AE79461
251585;CD00;;Acces. poste met. 27 m R2 3 secc y 8 br;28/10/2021;ZAT;FEEM0701;C/U;;;ND;MD04;S;2,367,151;COP;1;AE79461
251586;CD00;;Acces. poste met. 27 m R1 - 3 secciones;20/12/2021;ZAT;FEEM0701;C/U;;;ND;MD04;S;1,619,841;COP;1;AE79461
251587;CD00;;Acces. poste met. 27 m S1 - 3 secciones;28/10/2021;ZAT;FEEM0701;C/U;;;ND;MD04;S;977,200;COP;1;AE79461
251588;CD00;;Acces. poste met. 27 m R2 - 3 secciones;20/12/2021;ZAT;FEEM0701;C/U;;;ND;MD04;S;1,271,305;COP;1;AE79461
251589;CD00;;Acces. poste met. 27 m R4 - 3 secciones;28/10/2021;ZAT;FEEM0701;C/U;;;ND;MD04;S;1,513,210;COP;1;AE79461
251590;CD00;;Acces. poste met. 27 m R5 - 3 secciones;28/10/2021;ZAT;FEEM0701;C/U;;;ND;MD04;S;1,778,881;COP;1;AE79461
251591;CD00;;Herraje para montaje en poste UP2008;30/12/2021;ZMBT;FEEM0702;C/U;;;ND;MD04;S;228,690;COP;1;AE79461
251600;CD00;;"""DERIVACION """"T"""" AA.304MM2/TUB.40MMD""";28/10/2021;ZMBT;FEEM2000;C/U;;;ND;MD04;S;1;COP;1;USRDM03
251601;CD00;;ADAPTADOR ROTULA OJO LARGO 120KN.;28/10/2021;ZAT;FEEM0701;C/U;;;ND;MD04;S;1;COP;1;USRDM03
